indice_tiempo,region_de_destino,origen_visitantes,visitas,observaciones
2022-10-01,patagonia,residentes,124830,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais. Los Parques Nacionales se mantuvieron cerrados del 22 al 30 de mayo (DI-2021-95-APN-DNO#APNAC).
2022-10-01,patagonia,total,163041,Emergencia sanitaria
2022-11-01,patagonia,no residentes,63309,Emergencia sanitaria. Los Parques Nacionales se mantuvieron cerrados.
2022-11-01,patagonia,residentes,114321,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais. Los Parques Nacionales se mantuvieron cerrados del 22 al 30 de mayo (DI-2021-95-APN-DNO#APNAC).
2022-11-01,patagonia,total,177630,Emergencia sanitaria
2022-12-01,patagonia,no residentes,73200,Emergencia sanitaria. Los Parques Nacionales se mantuvieron cerrados.
2022-12-01,patagonia,residentes,88790,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais. Los Parques Nacionales se mantuvieron cerrados del 22 al 30 de mayo (DI-2021-95-APN-DNO#APNAC).
2022-12-01,patagonia,total,161990,Emergencia sanitaria
2022-2-01,patagonia,no residentes,16444,
2022-2-01,patagonia,residentes,336836,
2022-2-01,patagonia,total,353280,
2022-3-01,patagonia,no residentes,21855,
2022-3-01,patagonia,residentes,223878,
2022-3-01,patagonia,total,245733,
2022-4-01,patagonia,no residentes,22327,
2022-4-01,patagonia,residentes,136294,
2022-4-01,patagonia,total,158621,
2022-5-01,patagonia,no residentes,11724,
2022-5-01,patagonia,residentes,63302,
2022-5-01,patagonia,total,75026,
2022-6-01,patagonia,no residentes,11410,
2022-6-01,patagonia,residentes,53112,
2022-6-01,patagonia,total,64522,
2022-7-01,patagonia,no residentes,20057,
2022-7-01,patagonia,residentes,68302,
2022-7-01,patagonia,total,88359,
2022-8-01,patagonia,no residentes,18588,
2022-8-01,patagonia,residentes,61000,
2022-8-01,patagonia,total,79588,
2022-9-01,patagonia,no residentes,23200,
2022-9-01,patagonia,residentes,78376,
2022-9-01,patagonia,total,101576,
2023-1-01,patagonia,no residentes,100636,
2023-1-01,patagonia,residentes,293200,
2023-1-01,patagonia,total,393836,
2023-10-01,patagonia,no residentes,66704,Emergencia sanitaria. Los Parques Nacionales se mantuvieron cerrados.
2023-10-01,patagonia,residentes,115150,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais. Los Parques Nacionales se mantuvieron cerrados del 22 al 30 de mayo (DI-2021-95-APN-DNO#APNAC).
2023-10-01,patagonia,total,181854,Emergencia sanitaria
2023-11-01,patagonia,no residentes,97554,Emergencia sanitaria. Los Parques Nacionales se mantuvieron cerrados.
2023-11-01,patagonia,residentes,87154,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais. Los Parques Nacionales se mantuvieron cerrados del 22 al 30 de mayo (DI-2021-95-APN-DNO#APNAC).
2023-11-01,patagonia,total,184708,Emergencia sanitaria
2023-12-01,patagonia,no residentes,106555,
2023-12-01,patagonia,residentes,98597,
2023-12-01,patagonia,total,205152,
2023-2-01,patagonia,no residentes,90227,
2023-2-01,patagonia,residentes,217760,
2023-2-01,patagonia,total,307987,
2023-3-01,patagonia,no residentes,72371,
2023-3-01,patagonia,residentes,111857,
2023-3-01,patagonia,total,184228,
